	U_mannWhitney	p	comonLangEffectSize	differenceOfMedian	zScore	rankBiserialCorrelation	p_adj	reject
KLF5_HUMAN.H11MO.0.A ,KLF5	284834.0	8.425542064793437e-156	0.9661153773098526	0.0011502505	26.591981425677957	0.9322307546197053	2.645620208345139e-153	True
ITF2_HUMAN.H11MO.0.C ,TCF4	283628.0	4.095513070849429e-153	0.9620248012373483	0.00055944335	26.358613190611027	0.9240496024746968	6.429955521233603e-151	True
TFAP2C_MA0524.1 ,TFAP2C	283456.0	9.84486950226231e-153	0.9614414023281687	0.00059728525	26.325330158744105	0.9228828046563373	1.0304296745701219e-150	True
TFAP2A_MA0003.1 ,TFAP2A	282422.0	1.5131414355880677e-150	0.957934225164844	0.000452987755	26.125244955544098	0.9158684503296882	1.1878160269366331e-148	True
TFAP2A_MA0003.2 ,TFAP2A	281193.5	9.132638698818045e-148	0.9537113667815375	0.0005183398499999999	25.887919700019545	0.9075346647491385	5.735297102857732e-146	True
Klf4_MA0039.2 ,KLF4	280712.0	1.0284489768281877e-146	0.9521341546142783	0.0006924209499999999	25.79434969686711	0.9042683092285567	5.382216312067516e-145	True
KLF5_MA0599.1 ,KLF5	280514.0	2.7649282964472537e-146	0.951462567497897	0.0008877806500000001	25.7560355090203	0.9029251349957941	1.2402678358349111e-144	True
SOX7_full_3 ,SOX7	14403.0	4.398698312414835e-146	0.04884948308143163	-0.00041969950000000006	-25.738039692231332	-0.9022942501288904	1.7264890876228226e-144	True
KLF16_HUMAN.H11MO.0.D ,KLF16	280138.0	1.8017051901201605e-145	0.9501872303475972	0.00212041185	25.683277253311207	0.9003744606951944	6.285949218863671e-144	True
HOXC11_DBD_2 ,HOXC11	14796.5	3.122088889963977e-145	0.050165522481209125	-0.0005445559500000001	-25.661898266463375	-0.899624860933981	9.803359114486888e-144	True
GKLF_M01588 ,KLF4	279709.5	1.5147677721197895e-144	0.948732124928771	0.0006822626499999999	25.600373184319363	0.8974676417116653	4.32397345859649e-143	True
KLF4_HUMAN.H11MO.0.A ,KLF4	279576.5	2.929985705647997e-144	0.9482674409139011	0.0006233316	25.574628786320087	0.8965654085149106	7.666795929778926e-143	True
TFAP2A_DBD_1 ,TFAP2A	279433.5	5.195881671445344e-144	0.9476602990258595	0.000305449525	25.552253168305725	0.8955953382356932	1.2550052652567984e-142	True
TFAP2A(var.2)_MA0810.1 ,TFAP2A	279339.5	8.275422226140283e-144	0.9473414647382845	0.00030741176500000003	25.534059830115954	0.8949576696605432	1.8560589850057493e-142	True
SOX7_full_1 ,SOX7	15632.0	1.964960357708823e-143	0.0530112880905218	-0.00039620285	-25.500221832325757	-0.8939570726942175	4.113317015470469e-142	True
POU2F3_DBD_2 ,POU2F3	15678.0	2.4662721974075384e-143	0.05315713781781673	-0.00051495595	-25.49132276507911	-0.8936450221148888	4.840059187412294e-142	True
TFAP2A_DBD_3 ,TFAP2A	279056.0	2.867185789452805e-143	0.9463408677719589	0.00026426943	25.48542235401522	0.893034488372724	5.295860811106945e-142	True
SP1_MA0079.2 ,SP1	279047.0	4.02155231578319e-143	0.9464867174992538	0.0011897204000000002	25.472162208155304	0.8929734349985076	7.015374595310676e-142	True
HOXC13_DBD_1 ,HOXC13	15985.5	1.1247633963061664e-142	0.054218788158358885	-0.0004823333000000001	-25.43181638601918	-0.8915590318291591	1.8588195075796644e-141	True
CKROX_M01175 ,ZBTB7B	278800.0	1.358821079850776e-142	0.9456489295308388	0.0009110070000000002	25.424366226346404	0.8912978590616775	2.1333490953657183e-141	True
SOX7_full_2 ,SOX7	16094.0	1.9194612205518873e-142	0.05456814913304209	-0.00039821809999999997	-25.410824139428495	-0.8908229994844382	2.8700515393013934e-141	True
SP3_DBD ,SP3	278434.0	8.219335531172111e-142	0.9444075109217702	0.0006267968	25.353543030629574	0.8888150218435406	1.173123343994565e-140	True
SP3_MA0746.1 ,SP3	278379.0	1.0769145671997449e-141	0.9442209589449977	0.00062483205	25.34290020067213	0.8884419178899954	1.4702224960900866e-140	True
TFAP2C_DBD_1 ,TFAP2C	278325.5	1.2153384683092416e-141	0.9438987328032996	0.00023533885	25.338203378239875	0.8880789894988196	1.5900678293712578e-140	True
TFAP2C_full_1 ,TFAP2C	278295.0	1.5592796181023236e-141	0.9438410712832063	0.00030053649999999996	25.328381672416516	0.8878720863973082	1.8036453480914768e-140	True
POU2F3_M01476 ,POU2F3	16526.0	1.6054489202088594e-141	0.05603343011423765	-0.00046877585000000007	-25.327231375797815	-0.887892437522047	1.8036453480914768e-140	True
Pou2f3_MA0627.1 ,POU2F3	16526.0	1.6054489202088594e-141	0.05603343011423765	-0.00046877585000000007	-25.327231375797815	-0.887892437522047	1.8036453480914768e-140	True
TFAP2A_MA0003.3 ,TFAP2A	278271.5	1.6083461702726542e-141	0.9437223563888965	0.000260377625	25.327160316654197	0.8877126692535208	1.8036453480914768e-140	True
TFAP2A_DBD_2 ,TFAP2A	278209.0	2.1962038524002487e-141	0.9435120614332618	0.00026155439999999997	25.31487639128388	0.8872886874881285	2.3779586539782002e-140	True
TFAP2A_DBD_5 ,TFAP2A	277868.0	9.976901678991191e-141	0.9423113450736711	0.00021795944499999997	25.25511006956007	0.8849754429761485	1.0442490424010779e-139	True
SP3_HUMAN.H11MO.0.B ,SP3	277831.0	1.582089498482955e-140	0.9423622228855182	0.0020717176	25.23685891309611	0.8847244457710363	1.6025035565278965e-139	True
TFAP2C_DBD_3 ,TFAP2C	277400.0	6.864991847705564e-140	0.9406696876780724	0.00021006072499999995	25.17874333245709	0.8818006675168915	6.736273250561084e-139	True
TFAP2C(var.3)_MA0815.1 ,TFAP2C	277378.5	7.518495241629519e-140	0.9405950668873633	0.00021016468999999997	25.17513730726751	0.8816548177895965	7.153962139005058e-139	True
TFAP2C_MA0524.2 ,TFAP2C	277413.5	1.0710648725726074e-139	0.9408121455512441	0.00023535721499999996	25.16109892052497	0.8818922475782162	9.891599117288197e-139	True
SOX7_HUMAN.H11MO.0.D ,SOX7	17538.5	2.2675516250340196e-139	0.059428676091498656	-0.00041997285000000003	-25.13131828440031	-0.8810239329226929	2.0343177436019488e-138	True
ZNF219_M01122 ,ZNF219	277116.0	5.000573378634941e-139	0.9399370471874745	0.0005763964	25.0985021236493	0.8798740943749491	4.361611224698254e-138	True
Sox11_DBD ,SOX11	17816.0	8.750678091971738e-139	0.06040553007896236	-0.00030803625	-25.077610583017897	-0.8791414538843514	7.42625113751115e-138	True
POU2F3_DBD_1 ,POU2F3	17889.0	1.2477052084761994e-138	0.060649743575828294	-0.00042240280000000005	-25.06348246899244	-0.8786462431823732	1.0309985143724385e-137	True
SP1_MA0079.3 ,SP1	276901.0	1.4719081404523088e-138	0.9392077985509999	0.0010690811	25.056898333815642	0.8784155971019998	1.1850747592359615e-137	True
SOX9_full_4 ,SOX9	18242.0	6.915956628167917e-138	0.061870811060157925	-0.00031744140000000004	-24.995170154241602	-0.8762515941714378	5.429025953111815e-137	True
SP1_HUMAN.H11MO.0.A ,SP1	276458.0	1.2592021003641926e-137	0.9377052071744498	0.0015781620999999997	24.971175176158386	0.8754104143488997	9.643645354008695e-137	True
Sox11_MA0869.1 ,SOX11	18401.0	1.4931147614460208e-137	0.06238298103275174	-0.00031920669999999996	-24.964409541388022	-0.87517298456028	1.1162810359382156e-136	True
TFAP2A(var.3)_MA0872.1 ,TFAP2A	276174.5	2.6196082165739393e-137	0.9365078826689822	0.000214095795	24.94191693982738	0.8734872330610806	1.9129232093121325e-136	True
HOXC11_full_2 ,HOXC11	18585.0	3.6351712434731786e-137	0.06302743331614793	-0.00043397700000000005	-24.928798588503795	-0.8739247822429653	2.5941903873876775e-136	True
TFAP2A_DBD_6 ,TFAP2A	276055.5	4.658117999743467e-137	0.9361042520283288	0.000213994585	24.91886606619694	0.8726799717797737	3.250331226487664e-136	True
SP1_HUMAN.H11MO.1.A ,SP1	276119.0	6.403911728998273e-137	0.9365553686267061	0.0008358473999999999	24.90557664242067	0.8731107372534122	4.3713658324031694e-136	True
SOX9_full_6 ,SOX9	19100.0	4.3543469318992374e-136	0.0647437115024557	-0.00028802345000000003	-24.829151368456984	-0.8704311724961333	2.909074333226299e-135	True
SOX15_full_3 ,SOX15	19197.0	6.941394712693778e-136	0.06504558651941497	-0.0003287192	-24.810393076025044	-0.8697731527962446	4.540829041220513e-135	True
SP1_M01303 ,SP1	275617.0	7.218646604036708e-136	0.9348526578568909	0.00070821815	24.80843663080906	0.8697053157137817	4.6258265993214824e-135	True
IRX4_M01410 ,IRX4	19292.0	1.0963946317765874e-135	0.06541869047296014	-0.0006543986999999999	-24.791991872733202	-0.8691287005128483	6.885358287556969e-135	True
TFAP2C_full_2 ,TFAP2C	275173.0	4.266864765391544e-135	0.9327768431335305	0.00020010840999999996	24.73721000713836	0.8666933492524354	2.6270500712410682e-134	True
SP1_DBD ,SP1	275131.0	7.503112195640655e-135	0.9332042167530459	0.0005136992499999999	24.714392715185074	0.8664084335060918	4.530725441213781e-134	True
KLF16_MA0741.1 ,KLF16	274811.0	3.457748439157763e-134	0.9321188234336417	0.0005861437	24.652470795432656	0.8642376468672835	2.048552848859505e-133	True
KLF16_DBD ,KLF16	274786.0	3.8946325669408814e-134	0.9320340270805633	0.00058520955	24.647633145451998	0.8640680541611266	2.264656714850809e-133	True
FOXK2_MA1103.1 ,FOXK2	20761.0	1.2248123237639287e-132	0.07041828345046536	-0.00031527044999999997	-24.507728308011373	-0.8591634330990693	6.992564902943156e-132	True
SP1_MA0079.1 ,SP1	273667.0	8.003017579221961e-132	0.928238542316772	0.0004741492999999999	24.431099932317757	0.8564770846335441	4.487406285492314e-131	True
BARX2_HUMAN.H11MO.0.D ,BARX2	21978.5	3.869153104056449e-130	0.07451564323121591	-0.00034550085	-24.27214731809235	-0.8509042683092286	2.1314282011819736e-129	True
CEBPG_M00622 ,CEBPG	22383.0	2.5876647763699584e-129	0.07591987083819499	-0.0004230432	-24.1938615772663	-0.84816025832361	1.4009081720347707e-128	True
FOXP1_MA0481.2 ,FOXP1	22577.0	6.422599935981567e-129	0.0765744986839606	-0.00031159165	-24.156322205536437	-0.8468442189238325	3.4181294574545963e-128	True
SOX11_HUMAN.H11MO.0.D ,SOX11	22640.0	8.619173925414159e-129	0.07669660543239357	-0.0002839127499999999	-24.14416226088913	-0.8464168453043172	4.510701020966743e-128	True
SOX9_full_1 ,SOX9	22767.0	1.5623366635263859e-128	0.07720877540498738	-0.00029678850000000004	-24.119557250849624	-0.8455553143570401	8.042192005693199e-128	True
SOX15_full_1 ,SOX15	23184.5	1.0963693971809337e-127	0.0785892600331045	-0.0002832927	-24.03877907483503	-0.84272311616422	5.5525804954002125e-127	True
SOX15_full_2 ,SOX15	23945.0	3.750776201598866e-126	0.08113993433370417	-0.0002707399	-23.891630780222382	-0.8375641060429273	1.869434487781022e-125	True
TFAP2A_DBD_4 ,TFAP2A	270578.0	1.0382111670137997e-125	0.9171709223129731	0.00018389644500000003	23.849052983026688	0.8355222098607983	5.093723538161455e-125	True
STAT1_M01212 ,STAT1	24265.5	1.6526197765713918e-125	0.08229994844381733	-0.0003135083	-23.82958714768458	-0.835389927549996	7.9834247668218e-125	True
HOXC13_M01317 ,HOXC13	24528.5	5.557764165511474e-125	0.0831207771416167	-0.00030265734999999997	-23.77872586825386	-0.8336058122812254	2.644148406016065e-124	True
IRX2_M01405 ,IRX2	24548.0	6.082638634011448e-125	0.08322931647355711	-0.0005520256	-23.774937126717898	-0.833473529970423	2.8506694493725294e-124	True
HOXC11_DBD_1 ,HOXC11	26742.0	1.3569554939228045e-120	0.09018940113423601	-0.00020107503499999996	-23.350759493888116	-0.818590074078094	6.265941545467068e-120	True
DLX3_M01400 ,DLX3	26849.0	2.2165105407179646e-120	0.0908949067918487	-0.00027221845	-23.329774439136106	-0.8178642172957425	1.008672912732523e-119	True
PBX2_HUMAN.H11MO.0.C ,PBX2	26896.0	2.7484010642890316e-120	0.09122052478766993	-0.00032387605000000003	-23.320570095207326	-0.8175453830081676	1.2328541916953656e-119	True
Stat6_MA0520.1 ,STAT6	27044.0	5.363719255070068e-120	0.09171234363552493	-0.0003629296	-23.29193327908545	-0.8165413941877188	2.3721237268901425e-119	True
TCF7L2_MA0523.1 ,TCF7L2	27423.5	2.968440389152888e-119	0.09301142376468673	-0.00027469195	-23.21849491446638	-0.8139669769082571	1.294569836380565e-118	True
SOX9_full_5 ,SOX9	27758.0	1.3345045660262335e-118	0.09410020893821398	-0.00022604205000000002	-23.15378668027931	-0.8116978264998779	5.740197722359415e-118	True
TCF4_MA0830.1 ,TCF4	267038.5	1.506662389721841e-118	0.9057166309391366	0.0004241634999999999	23.14855531976798	0.8115112745231053	6.39313500503592e-118	True
VDR_HUMAN.H11MO.0.A ,VDR	266991.0	1.849595818674667e-118	0.9054215396304236	0.0002318819	23.13971116170828	0.8111890483814073	7.743641160851273e-118	True
TFAP2C(var.2)_MA0814.1 ,TFAP2C	266745.0	4.23114463944486e-118	0.9040342712940602	0.000167096015	23.103988739860796	0.8095202561528234	1.748130811560113e-117	True
TFAP2C_DBD_2 ,TFAP2C	266557.5	1.0305296254853967e-117	0.903610289528668	0.00017225961000000002	23.06549889500562	0.8082483108566467	4.20241951171967e-117	True
SOX9_full_3 ,SOX9	28232.0	1.1158386831902994e-117	0.09572829891732017	-0.00026036805	-23.062056871527158	-0.8084823487911432	4.4919659810481284e-117	True
BARX2_M01431 ,BARX2	29160.0	6.938464339467691e-116	0.09867582015032697	-0.00034388414999999997	-22.882610825845344	-0.8021870675385993	2.757820003282095e-115	True
TCF4_DBD ,TCF4	265629.0	8.109499396739037e-116	0.9009375084796353	0.00040865125000000003	22.87580726534067	0.8019496377499796	3.1829785132200722e-115	True
DLX3_HUMAN.H11MO.0.C ,DLX3	29954.0	2.3259652234984705e-114	0.10145714053130003	-0.00020278735	-22.72889851518577	-0.7968008031910564	9.016704693561972e-114	True
OTX1_M01366 ,OTX1	29991.0	2.73899064138173e-114	0.10161316582096437	-0.00019719550000000006	-22.721719718089744	-0.7965498059859442	1.0488330016998333e-113	True
HES1_HUMAN.H11MO.0.D ,HES1	264734.0	3.778783521023755e-114	0.8975320869400049	0.000155071235	22.70757935412233	0.7958782188695629	1.429563886266818e-113	True
HOXA1_M01487 ,HOXA1	30821.0	1.0456685177950604e-112	0.10436395951482919	-0.0002367019	-22.561165070340337	-0.7909193281415353	3.908808506995821e-112	True
STAT1::STAT2_MA0517.1 ,STAT1,STAT2	32279.5	5.941520417030752e-110	0.10948565924076738	-0.0005202025000000002	-22.278829508105584	-0.7810252896643421	2.19486754229136e-109	True
BATF::JUN_MA0462.1 ,BATF,JUN	32459.5	1.2916223504368282e-109	0.11005888258757768	-0.00023894099999999997	-22.2440174971075	-0.7798042221800124	4.715923465548419e-109	True
RARG_HUMAN.H11MO.0.B ,RARG	262221.0	2.391311647214983e-109	0.8893373673785038	0.00021927965000000007	22.21636561161315	0.778830760046672	8.630711002592008e-109	True
HOMEZ_M01429 ,HOMEZ	32621.0	2.56668960045095e-109	0.11013689523240984	-0.0001878192	-22.213186075664368	-0.7787086532982389	9.158415165245436e-109	True
KLF4_MA0039.3 ,KLF4	261376.0	9.004891171915107e-108	0.8865187366021762	0.00025466385	22.05276785091286	0.7730985265785689	3.1770065482936444e-107	True
TCF4_full ,TCF4	260665.0	1.864976860094602e-106	0.8841376550077334	0.00031127969999999994	21.915134930377274	0.7682753100154669	6.506697045218945e-106	True
FOSL1::JUND_MA1142.1 ,FOSL1,JUND	34263.5	2.909997365015369e-106	0.11618457113396467	-0.00019803115000000004	-21.89492493834436	-0.767566412503731	1.004108980895413e-105	True
E2F1_MA0024.2 ,E2F1	260342.0	3.022690355317928e-106	0.8827571703796163	0.00016695496000000001	21.893193301077247	0.7660841722519198	1.0316573604019884e-105	True
TFAP2C_full_3 ,TFAP2C	260088.5	2.1485824448524314e-105	0.8821330692209589	0.00042785954999999997	21.803613500101765	0.7643645022114889	7.254353631007135e-105	True
HOXC13_MA0907.1 ,HOXC13	34913.0	4.538276431337982e-105	0.1181586302336309	-0.00014456711500000001	-21.76936397918962	-0.7631603939977749	1.5159774462129003e-104	True
FOXP1_HUMAN.H11MO.0.A ,FOXP1	35151.0	1.241683035340727e-104	0.11922706428241935	-0.0003473752499999999	-21.723176979144775	-0.7615458714351613	4.1040891904946135e-104	True
HOXC11_M01329 ,HOXC11	35323.5	2.5238539376920455e-104	0.11904729601389304	-0.00016965757499999998	-21.690568574320007	-0.7603756817626788	8.255105587867732e-104	True
SOX15_MA1152.1 ,SOX15	35815.5	2.0233829887961685e-103	0.12147586356605974	-0.0003636474500000001	-21.594592849616586	-0.7570380973055111	6.549920190536051e-103	True
SOX9_DBD ,SOX9	35882.5	2.67463610224493e-103	0.12158101104387703	-0.00018338185	-21.581694622328076	-0.7565835888530106	8.569752409233757e-103	True
XBP1_HUMAN.H11MO.0.D ,XBP1	258756.5	5.603771250697247e-103	0.8774726616557675	0.0001909465	21.547469554584147	0.7553286028274496	1.777357750221147e-102	True
STAT1_MA0137.1 ,STAT1	36117.0	7.139495997961372e-103	0.12250359536537053	-0.00029545959999999997	-21.53625018389216	-0.7549928092692589	2.241801743359871e-102	True
FOSL1::JUNB_MA1137.1 ,FOSL1,JUNB	36234.0	1.1627865822310967e-102	0.12285634819417686	-0.00015086320000000004	-21.513638402069663	-0.7541991154044447	3.6149998695105384e-102	True
SOX9_full_2 ,SOX9	36260.5	1.29834252366157e-102	0.12288687488128511	-0.00020593109999999997	-21.508523232040865	-0.7540193471359183	3.996858357154245e-102	True
HOXA1_DBD ,HOXA1	36765.0	1.052531495522745e-101	0.1243012780506336	-0.00015351221499999997	-21.411216522946177	-0.7505969663256723	3.208688248486815e-101	True
E2F1_HUMAN.H11MO.0.A ,E2F1	257703.0	4.51834353744112e-101	0.874090983094999	0.000297498	21.341970160668943	0.7481819661899981	1.3641921834197228e-100	True
